name,lat,lng,attr,distance(km),cool_time_Lv1(h),cool_time_Lv1(hms),cool_time_Lv2(h),cool_time_Lv2(hms),cool_time_Lv3(h),cool_time_Lv3(hms),cool_time_Lv4(h),cool_time_Lv4(hms),cool_time_Lv5(h),cool_time_Lv5(hms),cool_time_Lv6(h),cool_time_Lv6(hms),cool_time_Lv7(h),cool_time_Lv7(hms)
函館,41.773709,140.726413,eco,152.834,18.77294,18時間46分23秒,16.16629,16時間9分59秒,13.72877,13時間43分44秒,11.46037,11時間27分37秒,7.88223,7時間52分56秒,4.93829,4時間56分18秒,2.62855,2時間37分43秒
函館駅前,41.77264,140.727997,heat,152.903,18.77316,18時間46分23秒,16.16665,16時間10分0秒,13.72925,13時間43分45秒,11.46095,11時間27分39秒,7.88290,7時間52分58秒,4.93899,4時間56分20秒,2.62924,2時間37分45秒
五稜郭,41.803557,140.733539,eco,149.508,18.76206,18時間45分43秒,16.14901,16時間8分56秒,13.70575,13時間42分21秒,11.43229,11時間25分56秒,7.84985,7時間50分59秒,4.90414,4時間54分15秒,2.59516,2時間35分43秒
桔梗,41.846457,140.722952,heat,145.329,18.74839,18時間44分54秒,16.12729,16時間7分38秒,13.67683,13時間40分37秒,11.39701,11時間23分49秒,7.80917,7時間48分33秒,4.86123,4時間51分40秒,2.55320,2時間33分12秒
大中山,41.864641,140.71358,heat,143.715,18.74311,18時間44分35秒,16.11890,16時間7分8秒,13.66566,13時間39分56秒,11.38339,11時間23分0秒,7.79345,7時間47分36秒,4.84466,4時間50分41秒,2.53700,2時間32分13秒
七飯,41.886971,140.688556,heat,142.172,18.73807,18時間44分17秒,16.11088,16時間6分39秒,13.65498,13時間39分18秒,11.37036,11時間22分13秒,7.77843,7時間46分42秒,4.82881,4時間49分44秒,2.52151,2時間31分17秒
新函館北斗,41.9054,140.646525,eco,141.647,18.73635,18時間44分11秒,16.10815,16時間6分29秒,13.65134,13時間39分5秒,11.36593,11時間21分57秒,7.77332,7時間46分24秒,4.82342,4時間49分24秒,2.51624,2時間30分58秒
仁山,41.930011,140.635183,unknown,139.537,18.72945,18時間43分46秒,16.09718,16時間5分50秒,13.63674,13時間38分12秒,11.34811,11時間20分53秒,7.75278,7時間45分10秒,4.80176,4時間48分6秒,2.49505,2時間29分42秒
大沼,41.971954,140.669347,heat,134.121,18.71173,18時間42分42秒,16.06903,16時間4分9秒,13.59925,13時間35分57秒,11.30238,11時間18分9秒,7.70004,7時間42分0秒,4.74614,4時間44分46秒,2.44067,2時間26分26秒
大沼公園,41.980958,140.669758,cool,133.196,18.70871,18時間42分31秒,16.06422,16時間3分51秒,13.59284,13時間35分34秒,11.29457,11時間17分40秒,7.69103,7時間41分28秒,4.73664,4時間44分12秒,2.43138,2時間25分53秒
赤井川,42.003267,140.642678,cool,131.904,18.70448,18時間42分16秒,16.05751,16時間3分27秒,13.58390,13時間35分2秒,11.28366,11時間17分1秒,7.67845,7時間40分42秒,4.72337,4時間43分24秒,2.41840,2時間25分6秒
駒ヶ岳,42.038809,140.610476,cool,129.572,18.69685,18時間41分49秒,16.04538,16時間2分43秒,13.56776,13時間34分4秒,11.26397,11時間15分50秒,7.65575,7時間39分21秒,4.69942,4時間41分58秒,2.39499,2時間23分42秒
東山(北海道),42.06172,140.605222,unknown,127.526,18.69016,18時間41分25秒,16.03475,16時間2分5秒,13.55359,13時間33分13秒,11.24669,11時間14分48秒,7.63582,7時間38分9秒,4.67841,4時間40分42秒,2.37444,2時間22分28秒
姫川(北海道),42.081312,140.591632,unknown,126.158,18.68568,18時間41分8秒,16.02764,16時間1分39秒,13.54412,13時間32分39秒,11.23514,11時間14分6秒,7.62250,7時間37分21秒,4.66436,4時間39分52秒,2.36071,2時間21分39秒
池田園,41.990692,140.700333,unknown,131.174,18.70209,18時間42分8秒,16.05371,16時間3分13秒,13.57885,13時間34分44秒,11.27749,11時間16分39秒,7.67134,7時間40分17秒,4.71587,4時間42分57秒,2.41107,2時間24分40秒
流山温泉,42.003483,140.716358,unknown,129.340,18.69609,18時間41分46秒,16.04418,16時間2分39秒,13.56615,13時間33分58秒,11.26201,11時間15分43秒,7.65349,7時間39分13秒,4.69704,4時間41分49秒,2.39266,2時間23分34秒
銚子口,42.015471,140.720656,unknown,127.976,18.69163,18時間41分30秒,16.03709,16時間2分14秒,13.55671,13時間33分24秒,11.25049,11時間15分2秒,7.64020,7時間38分25秒,4.68303,4時間40分59秒,2.37896,2時間22分44秒
鹿部,42.06439,140.771393,cool,121.326,18.66988,18時間40分12秒,16.00252,16時間0分9秒,13.51067,13時間30分38秒,11.19434,11時間11分40秒,7.57545,7時間34分32秒,4.61474,4時間36分53秒,2.31219,2時間18分44秒
渡島沼尻,42.10706,140.747596,cool,117.771,18.65825,18時間39分30秒,15.98404,15時間59分3秒,13.48607,13時間29分10秒,11.16432,11時間9分52秒,7.54084,7時間32分27秒,4.57823,4時間34分42秒,2.27649,2時間16分35秒
渡島砂原,42.12164,140.689451,cool,118.397,18.66030,18時間39分37秒,15.98730,15時間59分14秒,13.49040,13時間29分25秒,11.16961,11時間10分11秒,7.54694,7時間32分49秒,4.58466,4時間35分5秒,2.28278,2時間16分58秒
掛澗,42.119205,140.64598,eco,120.304,18.66654,18時間40分0秒,15.99721,15時間59分50秒,13.50360,13時間30分13秒,11.18571,11時間11分9秒,7.56550,7時間33分56秒,4.60424,4時間36分15秒,2.30192,2時間18分7秒
尾白内,42.111232,140.613449,eco,122.376,18.67331,18時間40分24秒,16.00798,16時間0分29秒,13.51794,13時間31分5秒,11.20320,11時間12分12秒,7.58568,7時間35分8秒,4.62552,4時間37分32秒,2.32273,2時間19分22秒
東森,42.106823,140.59353,eco,123.613,18.67736,18時間40分38秒,16.01441,16時間0分52秒,13.52651,13時間31分35秒,11.21365,11時間12分49秒,7.59772,7時間35分52秒,4.63822,4時間38分18秒,2.33515,2時間20分7秒
森(北海道),42.108917,140.573846,eco,124.228,18.67937,18時間40分46秒,16.01761,16時間1分3秒,13.53076,13時間31分51秒,11.21884,11時間13分8秒,7.60371,7時間36分13秒,4.64454,4時間38分40秒,2.34133,2時間20分29秒
桂川(北海道),42.1156,140.542788,unknown,124.916,18.68162,18時間40分54秒,16.02118,16時間1分16秒,13.53553,13時間32分8秒,11.22465,11時間13分29秒,7.61041,7時間36分37秒,4.65160,4時間39分6秒,2.34823,2時間20分54秒
石谷,42.135519,140.506525,unknown,124.657,18.68077,18時間40分51秒,16.01984,16時間1分11秒,13.53373,13時間32分1秒,11.22246,11時間13分21秒,7.60789,7時間36分28秒,4.64894,4時間38分56秒,2.34563,2時間20分44秒
本石倉,42.159668,140.471957,unknown,124.042,18.67876,18時間40分44秒,16.01664,16時間1分0秒,13.52947,13時間31分46秒,11.21727,11時間13分2秒,7.60190,7時間36分7秒,4.64263,4時間38分33秒,2.33946,2時間20分22秒
石倉,42.17285,140.458436,eco,123.497,18.67698,18時間40分37秒,16.01381,16時間0分50秒,13.52570,13時間31分33秒,11.21267,11時間12分46秒,7.59659,7時間35分48秒,4.63703,4時間38分13秒,2.33399,2時間20分2秒
