name,lat,lng,attr,distance(km),cool_time(h),cool_time(hms),reduction(hms)
函館,41.773709,140.726413,eco,152.834,7.88223,7時間52分56秒,8時間7分4秒
函館駅前,41.77264,140.727997,heat,152.903,7.88290,7時間52分58秒,8時間7分2秒
五稜郭,41.803557,140.733539,eco,149.508,7.84985,7時間50分59秒,8時間9分1秒
桔梗,41.846457,140.722952,heat,145.329,7.80917,7時間48分33秒,8時間11分27秒
大中山,41.864641,140.71358,heat,143.715,7.79345,7時間47分36秒,8時間12分24秒
七飯,41.886971,140.688556,heat,142.172,7.77843,7時間46分42秒,8時間13分18秒
新函館北斗,41.9054,140.646525,eco,141.647,7.77332,7時間46分24秒,8時間13分36秒
仁山,41.930011,140.635183,unknown,139.537,7.75278,7時間45分10秒,8時間14分50秒
大沼,41.971954,140.669347,heat,134.121,7.70004,7時間42分0秒,8時間18分0秒
大沼公園,41.980958,140.669758,cool,133.196,7.69103,7時間41分28秒,8時間18分32秒
赤井川,42.003267,140.642678,cool,131.904,7.67845,7時間40分42秒,8時間19分18秒
駒ヶ岳,42.038809,140.610476,cool,129.572,7.65575,7時間39分21秒,8時間20分39秒
東山(北海道),42.06172,140.605222,unknown,127.526,7.63582,7時間38分9秒,8時間21分51秒
姫川(北海道),42.081312,140.591632,unknown,126.158,7.62250,7時間37分21秒,8時間22分39秒
池田園,41.990692,140.700333,unknown,131.174,7.67134,7時間40分17秒,8時間19分43秒
流山温泉,42.003483,140.716358,unknown,129.340,7.65349,7時間39分13秒,8時間20分47秒
銚子口,42.015471,140.720656,unknown,127.976,7.64020,7時間38分25秒,8時間21分35秒
鹿部,42.06439,140.771393,cool,121.326,7.57545,7時間34分32秒,8時間25分28秒
渡島沼尻,42.10706,140.747596,cool,117.771,7.54084,7時間32分27秒,8時間27分33秒
渡島砂原,42.12164,140.689451,cool,118.397,7.54694,7時間32分49秒,8時間27分11秒
掛澗,42.119205,140.64598,eco,120.304,7.56550,7時間33分56秒,8時間26分4秒
尾白内,42.111232,140.613449,eco,122.376,7.58568,7時間35分8秒,8時間24分52秒
東森,42.106823,140.59353,eco,123.613,7.59772,7時間35分52秒,8時間24分8秒
森(北海道),42.108917,140.573846,eco,124.228,7.60371,7時間36分13秒,8時間23分47秒
桂川(北海道),42.1156,140.542788,unknown,124.916,7.61041,7時間36分37秒,8時間23分23秒
石谷,42.135519,140.506525,unknown,124.657,7.60789,7時間36分28秒,8時間23分32秒
