name,name_kana,lat,lng,radius,pt
石動,いするぎ,36.672492,136.865859,0,3
津幡,つばた,36.657895,136.730759,0,2
金沢,かなざわ,36.578117,136.648166,0,1
滑川,なめりかわ,36.769318,137.348666,0,2
魚津,うおづ,36.82642,137.405693,0,3
泊(富山),とまり,36.951897,137.556179,0,6
入善,にゅうぜん,36.941296,137.499,0,5
生地,いくじ,36.906031,137.426534,0,4
富山,とやま,36.701612,137.213252,0,1
小杉(あいの風とやま鉄道線),こすぎ,36.720947,137.092767,0,2
高岡,たかおか,36.740948,137.015274,0,3
野々市(IRいしかわ鉄道),ののいち,36.541644,136.598044,0,2
加賀笠間,かがかさま,36.502935,136.527434,0,2
能美根上,のみねあがり,36.452053,136.459721,0,2
小松,こまつ,36.402545,136.452926,0,3
加賀温泉,かがおんせん,36.320562,136.350337,0,3
大聖寺,だいしょうじ,36.300311,136.314205,0,3
芦原温泉,あわらおんせん,36.214542,136.235069,0,3
丸岡,まるおか,36.162595,136.233502,0,3
福井(福井),ふくい,36.062057,136.223516,0,2
鯖江,さばえ,35.943355,136.188852,0,3
武生,たけふ,35.903254,136.170913,0,3
王子保,おうしお,35.866259,136.165595,0,2
今庄,いまじょう,35.772947,136.199279,0,3
敦賀,つるが,35.644767,136.076488,0,2
とやま朝日町北陸街道 五叉路Cross Five,"",36.9569695,137.5595175,200,4
杉沢の沢スギ,"",36.9427481,137.4720898,200,9
黒部市吉田科学館,"",36.901297,137.4256462,200,10
魚津埋没林博物館,"",36.8224611,137.3950101,200,9
ほたるいかミュージアム,"",36.7740842,137.3444938,200,6
富岩運河環水公園,"",36.7093769,137.2124329,200,6
内川（川の駅 新湊）,"",36.7810011,137.0876742,200,12
高岡市藤子・F・不二雄ふるさとギャラリー,"",36.7512183,137.026517,200,9
クロスランドおやべ,"",36.6573139,136.8782951,200,9
津幡ふるさと歴史館れきしる,"",36.673859,136.734647,200,7
兼六園,"",36.5621278,136.6626515,200,6
野々市市ふるさと歴史館,"",36.5459059,136.5997536,200,4
道の駅めぐみ白山,"",36.5006684,136.5470779,200,9
能美ふるさとミュージアム,"",36.4429064,136.5059836,200,9
サイエンスヒルズこまつ,"",36.401922,136.4556815,200,6
石川県九谷焼美術館,"",36.302787,136.310215,200,6
金津創作の森美術館,"",36.2305022,136.2614073,200,6
丸岡城,"",36.1523454,136.2721028,200,12
養浩館庭園,"",36.0686037,136.2242666,200,8
めがねミュージアム,"",35.9426606,136.1988316,200,6
「ちひろの生まれた家」記念館,"",35.899832,136.1668294,200,4
今庄宿(公徳園(福井藩本陣跡)),"",35.7728168,136.1967177,50,4
敦賀赤レンガ倉庫,"",35.6620052,136.0746772,200,12
