name,name_kana,lat,lng,radius,pt,coordinates
星置,ほしおき,43.132375,141.210856,0,1,"[[141.273378, 43.309456], [141.253698, 43.453841], [141.209115, 43.247712], [141.197014, 43.073969], [141.274675, 43.293881], [141.273378, 43.309456]]"
月ヶ岡,つきがおか,43.324867,141.61807,0,1,"[[141.34061, 43.551163], [141.642271, 43.287869], [141.605611, 43.458341], [141.578304, 43.547288], [141.56033, 43.588569], [141.34061, 43.551163]]"
石狩月形,いしかりつきがた,43.340869,141.670193,0,1,"[[141.732626, 43.284181], [141.701367, 43.263786], [141.692785, 43.261348], [141.605611, 43.458341], [141.578304, 43.547288], [141.732814, 43.284537], [141.732626, 43.284181]]"
北星,ほくせい,44.441569,142.428116,0,1,"[[142.914096, 44.918666], [143.282579, 45.134003], [143.203348, 44.906976], [142.385614, 44.370918], [142.380438, 44.368835], [142.369097, 44.369328], [142.376658, 44.391], [142.395224, 44.423541], [142.914096, 44.918666]]"
新月,にいつき,38.915598,141.488796,0,1,"[[141.448534, 38.893806], [141.4323, 38.844368], [141.499879, 38.851616], [141.510489, 38.855637], [141.519665, 38.880824], [141.522159, 38.891587], [141.526076, 38.940917], [141.504282, 38.979077], [141.448534, 38.893806]]"
月岡(新潟),つきおか,37.889334,139.272488,0,1,"[[139.273325, 37.919605], [139.342786, 37.82787], [139.313868, 37.818514], [139.239454, 37.895846], [139.24426, 37.904994], [139.266128, 37.919321], [139.273325, 37.919605]]"
池月,いけづき,38.708948,140.835732,0,1,"[[140.945706, 38.77641], [140.800203, 38.655384], [140.764073, 38.634986], [140.905044, 38.920179], [140.928409, 38.878109], [140.945706, 38.77641]]"
大月,おおつき,35.613222,138.942729,0,1,"[[138.898062, 35.793147], [138.918435, 35.791034], [138.957521, 35.760298], [138.9553, 35.593651], [138.892657, 35.667916], [138.876876, 35.716855], [138.884166, 35.761776], [138.898062, 35.793147]]"
相月,あいづき,35.114988,137.854345,0,1,"[[137.938801, 34.99272], [137.951045, 35.014831], [137.968594, 35.05935], [137.971675, 35.07101], [137.815641, 35.142858], [137.812412, 35.141325], [137.879246, 35.012457], [137.898673, 34.978812], [137.907776, 34.977591], [137.922968, 34.981335], [137.931746, 34.983708], [137.938801, 34.99272]]"
高月,たかつき,35.470337,136.237716,0,1,"[[136.405131, 35.546381], [136.163064, 35.415991], [136.17479, 35.463433], [136.405133, 35.567034], [136.405131, 35.546381]]"
速星,はやほし,36.664135,137.160428,0,1,"[[137.115266, 36.679046], [137.169669, 36.627274], [137.190949, 36.631431], [137.192074, 36.651811], [137.191767, 36.654708], [137.127535, 36.693658], [137.115266, 36.679046]]"
月ヶ瀬口,つきがせぐち,34.762813,136.023703,0,1,"[[136.010707, 34.669435], [136.021722, 34.672819], [136.043199, 34.683778], [136.05105, 34.689524], [136.029511, 34.824248], [136.020518, 34.827208], [135.982611, 34.674224], [135.982887, 34.6676], [136.010707, 34.669435]]"
小月,おづき,34.067907,131.033038,0,1,"[[130.968755, 34.089177], [130.971342, 34.074557], [131.047303, 34.022197], [131.082071, 34.122093], [131.071771, 34.149319], [131.051215, 34.187112], [131.038005, 34.177733], [130.999329, 34.138137], [130.975867, 34.104686], [130.968775, 34.09042], [130.968755, 34.089177]]"
星田,ほしだ,34.767346,135.663455,0,1,"[[135.67441, 34.77103], [135.67499, 34.769058], [135.675302, 34.746876], [135.64538, 34.772568], [135.65167, 34.784418], [135.661567, 34.78207], [135.672589, 34.775235], [135.67441, 34.77103]]"
三日月,みかづき,34.984846,134.435318,0,1,"[[134.414229, 34.926446], [134.404912, 34.93827], [134.414918, 35.026478], [134.498187, 35.115189], [134.547769, 35.154915], [134.567601, 35.107987], [134.567805, 35.10721], [134.523115, 35.044923], [134.414229, 34.926446]]"
上月,こうづき,34.983425,134.32251,0,1,"[[134.309997, 35.043355], [134.345615, 34.983218], [134.285427, 34.927026], [134.27907, 34.924037], [134.301443, 35.044221], [134.308959, 35.04372], [134.309997, 35.043355]]"
月田,つきだ,35.048195,133.666839,0,1,"[[133.683936, 34.926928], [133.639684, 34.944421], [133.627532, 34.952245], [133.645008, 35.095218], [133.713402, 35.036261], [133.683936, 34.926928]]"
